stdg_Cd,bjd_Nm,posifertca_Fachs1_Area,posifertca_Fachs2_Area,posifertca_Fachs3_Area,posifertca_Fachs4_Area,posifertca_Fachs5_Area,posifertca_Fachs6_Area,posifertca_Fruit1_Area,posifertca_Fruit2_Area,posifertca_Fruit3_Area,posifertca_Fruit4_Area,posifertca_Fruit5_Area,posifertca_Fruit6_Area,posifertca_Pfld1_Area,posifertca_Pfld2_Area,posifertca_Pfld3_Area,posifertca_Pfld4_Area,posifertca_Pfld5_Area,posifertca_Pfld6_Area,posifertca_Rfld1_Area,posifertca_Rfld2_Area,posifertca_Rfld3_Area,posifertca_Rfld4_Area,posifertca_Rfld5_Area,posifertca_Rfld6_Area
4889041025,경상남도 합천군 대양면 덕정리,0,0,0,0,0,1,-,-,-,-,-,-,1,1,4,1,2,7,3,2,3,1,2,6
4825033025,경상남도 김해시 진례면 신안리,0,0,0,0,0,3,-,-,-,-,-,-,0,0,0,1,8,0,4,27,27,6,3,6
4825033026,경상남도 김해시 진례면 산본리,-,-,-,-,-,-,8,6,13,6,1,0,0,6,0,2,15,1,19,30,14,6,2,2
4825033027,경상남도 김해시 진례면 신월리,0,0,0,0,0,9,-,-,-,-,-,-,0,0,0,0,2,1,2,42,64,41,17,9
4825033029,경상남도 김해시 진례면 담안리,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,5,32,4,45,51,56,24,6,13
4825034000,경상남도 김해시 한림면,0,0,0,1,0,19,16,0,4,8,4,20,12,6,44,127,125,250,6,20,38,71,158,1182
4825034021,경상남도 김해시 한림면 명동리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,7,8,6,2,0,0,0,3,7,39
4825034023,경상남도 김해시 한림면 병동리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,3,9,1,1,2,4,5,22
4418039025,충청남도 보령시 미산면 늑전리,-,-,-,-,-,-,2,0,0,0,0,0,5,5,5,4,1,3,0,2,3,2,3,2
4418039026,충청남도 보령시 미산면 도흥리,-,-,-,-,-,-,26,1,0,2,0,0,25,20,12,4,5,2,5,11,12,6,2,3
4418039027,충청남도 보령시 미산면 봉성리,-,-,-,-,-,-,14,1,1,0,0,0,20,16,9,3,1,3,1,2,4,1,1,1
4418039029,충청남도 보령시 미산면 은현리,-,-,-,-,-,-,20,0,0,0,0,0,7,11,6,7,1,1,0,8,9,3,1,0
4418039030,충청남도 보령시 미산면 내평리,-,-,-,-,-,-,-,-,-,-,-,-,10,10,2,2,2,2,1,3,4,4,1,1
4423033026,충청남도 논산시 노성면 죽림리,0,0,1,2,3,13,3,3,0,0,0,6,4,6,7,3,1,5,26,8,9,13,10,39
4423032024,충청남도 논산시 광석면 갈산리,2,0,0,0,0,3,0,0,0,0,0,5,5,5,3,3,3,10,92,19,22,23,15,75
4423032025,충청남도 논산시 광석면 광리,2,0,1,0,1,11,0,0,1,3,0,1,0,1,2,2,1,2,33,1,2,14,35,92
4423032027,충청남도 논산시 광석면 산동리,0,0,0,4,12,57,-,-,-,-,-,-,0,0,0,0,0,5,14,3,3,19,23,29
4423032029,충청남도 논산시 광석면 왕전리,0,1,1,3,10,86,-,-,-,-,-,-,1,1,1,2,4,11,43,0,4,13,10,28
4423032030,충청남도 논산시 광석면 항월리,1,1,2,4,10,52,0,0,2,0,0,1,1,2,3,4,1,8,43,1,2,3,4,2
4717035030,경상북도 안동시 일직면 조탑리,0,0,0,0,1,1,-,-,-,-,-,-,1,1,1,1,1,2,0,0,0,1,0,1
4717034027,경상북도 안동시 풍천면 금계리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,2,0,0,0,2,1,5
4717034028,경상북도 안동시 풍천면 구호리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,1
4717034029,경상북도 안동시 풍천면 어담리,0,0,0,0,0,1,0,0,0,3,2,3,138,2,3,2,30,3,0,0,2,2,2,4
4717034031,경상북도 안동시 풍천면 가곡리,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,7,0,0,2,3,6,50
4717034033,경상북도 안동시 풍천면 하회리,0,0,0,0,0,1,-,-,-,-,-,-,1,1,1,3,4,2,2,7,23,106,83,29
4717035000,경상북도 안동시 일직면,0,1,4,4,5,22,1,1,4,10,6,34,8,14,26,29,26,74,0,1,5,13,14,44
4717035021,경상북도 안동시 일직면 귀미리,-,-,-,-,-,-,0,0,1,2,3,5,0,1,2,4,3,10,0,0,0,1,2,5
4717035023,경상북도 안동시 일직면 망호리,-,-,-,-,-,-,0,0,0,1,1,7,1,1,6,6,5,13,0,0,1,1,1,8
4723010100,경상북도 영천시 조교동,-,-,-,-,-,-,1,2,1,2,4,4,0,1,1,1,2,1,0,0,3,5,3,3
4723010300,경상북도 영천시 야사동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-
4721035032,경상북도 영주시 안정면 대평리,2,8,9,4,1,0,0,0,0,1,1,0,0,0,1,1,2,3,1,3,4,12,1,1
4721035033,경상북도 영주시 안정면 오계리,0,0,1,1,1,9,3,2,0,1,2,3,7,1,2,3,4,10,3,2,21,68,42,10
4777032042,경상북도 영덕군 남정면 사암리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,3,0,0,0,1,0,3
4687037026,전라남도 영광군 법성면 입암리,-,-,-,-,-,-,0,0,3,0,0,0,0,6,5,24,19,2,3,11,22,17,4,4
4687037028,전라남도 영광군 법성면 월산리,0,0,0,0,0,1,4,0,1,0,0,0,6,22,21,70,16,10,18,51,77,56,22,15
4678033026,전라남도 보성군 겸백면 용산리,-,-,-,-,-,-,11,0,0,0,0,1,18,22,15,14,6,6,10,13,13,15,7,5
4688025036,전라남도 장성군 장성읍 용곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3171025600,울산광역시 울주군 온양읍,-,-,-,-,-,-,27,7,7,6,10,41,34,18,13,15,11,32,19,55,67,70,66,98
3171025621,울산광역시 울주군 온양읍 발리,-,-,-,-,-,-,21,4,5,3,5,22,4,2,5,5,1,4,0,8,4,5,7,20
3171025623,울산광역시 울주군 온양읍 망양리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,1,1,3,3,2,1,1
3171025624,울산광역시 울주군 온양읍 남창리,-,-,-,-,-,-,0,0,0,0,0,4,0,1,1,0,0,1,11,6,6,5,9,6
4711131026,경상북도 포항시남구 대송면 송동리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,7
4711131027,경상북도 포항시남구 대송면 제내리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,9
4711132000,경상북도 포항시남구 동해면,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,3,2,18,0,1,1,2,3,42
4711132022,경상북도 포항시남구 동해면 약전리,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,7
4377033029,충청북도 음성군 맹동면 통동리,0,0,0,0,1,1,-,-,-,-,-,-,1,0,0,2,12,5,0,0,0,0,0,1
4377034000,충청북도 음성군 대소면,2,6,6,18,13,121,7,7,18,10,10,54,104,135,161,112,118,268,16,64,153,213,251,269
4377033027,충청북도 음성군 맹동면 본성리,0,0,0,0,0,3,-,-,-,-,-,-,0,0,1,1,13,5,1,1,2,1,2,5
4161033000,경기도 광주시 도척면,9,11,8,6,4,16,3,3,3,1,1,0,16,14,20,18,14,50,150,305,303,203,116,193
4161033022,경기도 광주시 도척면 유정리,0,2,1,2,1,3,1,0,1,0,0,0,0,1,3,3,2,11,26,58,67,73,61,149
4159025332,경기도 화성시 봉담읍 유리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,1,0,0,0
4159025300,경기도 화성시 봉담읍,0,0,1,2,1,3,2,3,1,4,0,4,145,56,20,28,14,25,8,24,29,33,17,10
4159025322,경기도 화성시 봉담읍 내리,0,0,0,0,0,1,-,-,-,-,-,-,8,0,1,0,1,6,0,2,2,2,1,1
4159025323,경기도 화성시 봉담읍 수영리,-,-,-,-,-,-,2,3,0,3,0,0,5,0,0,0,0,1,0,0,2,3,2,1
4159025325,경기도 화성시 봉담읍 와우리,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,-,-,-,-,-,-
4159025326,경기도 화성시 봉담읍 수기리,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,0,0,0,0,0,1,0,0
4159025328,경기도 화성시 봉담읍 왕림리,0,0,0,1,0,0,-,-,-,-,-,-,3,0,0,1,9,4,0,0,1,1,1,0
4159025329,경기도 화성시 봉담읍 세곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,0,0,0
4691033024,전라남도 신안군 자은면 유천리,-,-,-,-,-,-,-,-,-,-,-,-,5,8,19,20,26,27,0,2,5,8,4,17
4691033025,전라남도 신안군 자은면 유각리,-,-,-,-,-,-,-,-,-,-,-,-,14,51,35,35,34,49,0,6,7,10,8,17
4691033026,전라남도 신안군 자은면 면전리,-,-,-,-,-,-,-,-,-,-,-,-,5,15,13,5,1,14,0,2,6,9,7,16
4691033028,전라남도 신안군 자은면 고장리,-,-,-,-,-,-,-,-,-,-,-,-,27,23,27,32,19,17,0,2,5,15,18,54
4691033029,전라남도 신안군 자은면 구영리,-,-,-,-,-,-,-,-,-,-,-,-,2,23,24,28,19,32,2,4,7,12,14,32
4691034021,전라남도 신안군 비금면 광대리,-,-,-,-,-,-,-,-,-,-,-,-,2,6,12,16,10,24,1,3,1,3,3,1
4691034022,전라남도 신안군 비금면 용소리,-,-,-,-,-,-,-,-,-,-,-,-,1,4,6,4,3,1,0,2,4,6,9,11
4691034024,전라남도 신안군 비금면 가산리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,9,18,0,1,1,2,1,4
4691034025,전라남도 신안군 비금면 덕산리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,5,8,20,0,1,2,7,9,16
4691034027,전라남도 신안군 비금면 구림리,-,-,-,-,-,-,-,-,-,-,-,-,0,11,12,11,6,4,0,2,3,3,4,5
4691034028,전라남도 신안군 비금면 신원리,-,-,-,-,-,-,-,-,-,-,-,-,3,7,8,9,14,20,0,2,3,8,5,10
2644010500,부산광역시 강서구 죽림동,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,2,3,13,54,45,34
2644010600,부산광역시 강서구 식만동,0,0,0,1,2,26,-,-,-,-,-,-,0,0,0,0,0,1,3,2,4,25,39,26
2644010700,부산광역시 강서구 죽동동,0,0,2,0,0,7,-,-,-,-,-,-,0,0,0,0,1,0,5,21,79,159,91,82
2644010800,부산광역시 강서구 봉림동,0,0,1,3,4,23,0,0,3,9,0,5,0,1,2,1,2,2,12,36,59,86,84,116
4159036030,경기도 화성시 팔탄면 덕우리,-,-,-,-,-,-,3,1,1,0,0,0,2,2,4,3,1,4,0,2,1,1,0,0
4159035026,경기도 화성시 서신면 제부리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,4,0,0,0,0,1,0
4159035027,경기도 화성시 서신면 홍법리,-,-,-,-,-,-,3,1,3,3,2,4,3,3,4,2,1,4,0,1,3,5,1,0
4159035029,경기도 화성시 서신면 매화리,-,-,-,-,-,-,0,0,2,2,3,27,2,2,4,2,2,55,0,0,1,1,1,3
4159035030,경기도 화성시 서신면 용두리,-,-,-,-,-,-,7,3,4,7,10,27,5,5,3,2,1,6,0,1,14,6,5,4
4159035032,경기도 화성시 서신면 백미리,-,-,-,-,-,-,0,1,0,2,4,12,1,2,3,4,1,2,0,1,4,7,1,0
4159036000,경기도 화성시 팔탄면,0,0,2,0,1,17,3,2,3,1,2,6,16,15,19,20,14,24,11,60,95,90,56,40
4159036022,경기도 화성시 팔탄면 창곡리,0,0,1,0,0,2,-,-,-,-,-,-,2,1,0,2,1,2,0,2,6,8,8,10
4159036023,경기도 화성시 팔탄면 기천리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,1,2,4,27,23,12,3,1
4159036025,경기도 화성시 팔탄면 구장리,0,0,0,0,0,1,-,-,-,-,-,-,2,3,2,2,2,1,1,8,9,9,7,4
4159036026,경기도 화성시 팔탄면 율암리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,1,3,0,1,1,3,1,1
4159036028,경기도 화성시 팔탄면 덕천리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,0,0,1,1,0,0,0
4615038029,전라남도 순천시 낙안면 평촌리,0,0,1,0,0,9,-,-,-,-,-,-,0,0,0,0,0,1,1,1,2,3,4,58
4673034024,전라남도 구례군 마산면 황전리,-,-,-,-,-,-,614,2,1,1,2,8,3,2,14,4,21,10,9,11,31,29,17,27
4673034025,전라남도 구례군 마산면 갑산리,-,-,-,-,-,-,5,1,1,4,1,6,1,1,2,4,13,5,24,91,45,39,40,33
4673035000,전라남도 구례군 광의면,0,1,1,2,3,64,116,19,22,25,19,61,34,29,44,64,43,45,31,155,276,316,203,232
4673035021,전라남도 구례군 광의면 연파리,0,0,0,0,1,0,4,1,0,0,0,1,1,2,2,4,3,4,1,19,22,19,12,15
4673035023,전라남도 구례군 광의면 대산리,0,0,0,0,0,13,1,0,0,0,3,6,0,0,4,4,2,4,2,5,39,58,37,50
4673035024,전라남도 구례군 광의면 지천리,0,0,0,1,1,42,1,4,0,2,3,10,0,1,4,6,8,6,7,24,49,65,54,65
4673035026,전라남도 구례군 광의면 대전리,0,0,0,0,0,2,2,2,0,5,1,7,3,12,15,12,10,9,4,20,21,17,13,9
4673035027,전라남도 구례군 광의면 온당리,-,-,-,-,-,-,54,7,17,15,8,26,23,12,3,9,9,13,6,45,58,49,29,29
4673036000,전라남도 구례군 용방면,2,3,8,12,12,198,290,81,42,51,30,91,116,22,98,10,11,30,54,210,358,347,259,402
4673036022,전라남도 구례군 용방면 신지리,0,0,0,0,0,6,0,0,0,0,0,1,0,1,1,1,1,5,2,22,41,35,28,61
4874038027,경상남도 창녕군 영산면 신제리,-,-,-,-,-,-,-,-,-,-,-,-,3,3,8,6,4,0,7,1,3,5,8,36
4874038028,경상남도 창녕군 영산면 월령리,0,0,1,2,3,24,0,0,0,1,0,0,2,2,9,6,3,2,6,0,0,2,4,0
4874039000,경상남도 창녕군 장마면,0,0,1,6,5,13,6,2,5,8,7,14,6,35,59,80,65,86,52,9,37,42,27,43
4874039021,경상남도 창녕군 장마면 강리,0,0,0,0,1,1,0,0,0,1,1,0,1,5,11,3,3,6,8,1,4,6,3,1
4723038023,경상북도 영천시 고경면 창상리,0,0,0,0,1,0,1,0,1,4,9,10,2,1,4,7,10,17,1,6,6,10,13,17
4723038024,경상북도 영천시 고경면 대의리,0,0,0,0,0,1,1,1,8,14,16,37,0,2,4,2,7,26,-,-,-,-,-,-
4723038026,경상북도 영천시 고경면 오류리,-,-,-,-,-,-,0,1,1,1,0,5,1,2,4,4,2,3,-,-,-,-,-,-
4723038027,경상북도 영천시 고경면 고도리,-,-,-,-,-,-,0,0,0,0,0,2,2,6,3,2,4,7,-,-,-,-,-,-
4723038029,경상북도 영천시 고경면 용전리,0,1,0,0,0,0,0,4,3,7,9,17,1,6,6,10,7,28,0,0,0,2,2,1
4723038031,경상북도 영천시 고경면 상리리,-,-,-,-,-,-,10,0,0,2,2,3,4,4,4,3,1,5,0,0,0,2,1,7
4723038032,경상북도 영천시 고경면 학리,-,-,-,-,-,-,0,0,0,2,1,3,5,2,2,2,0,0,0,0,0,0,1,1
4723039039,경상북도 영천시 북안면 원당리,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
4824031025,경상남도 사천시 정동면 수청리,-,-,-,-,-,-,0,3,0,3,0,1,0,0,0,0,1,11,0,0,3,7,3,2
4824025021,경상남도 사천시 사천읍 선인리,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,2,1,6,0,0,0,2,4,11
4824025022,경상남도 사천시 사천읍 정의리,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,2,4,-,-,-,-,-,-
4824025024,경상남도 사천시 사천읍 수석리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,5,-,-,-,-,-,-
4824025025,경상남도 사천시 사천읍 사주리,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,3,0,1,2,4,5,3
4824025028,경상남도 사천시 사천읍 구암리,-,-,-,-,-,-,3,0,0,0,1,3,12,11,28,13,13,21,0,0,2,5,10,23
4824025030,경상남도 사천시 사천읍 금곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,5,0,0,1,3,3,4
4824025031,경상남도 사천시 사천읍 두량리,-,-,-,-,-,-,4,7,0,2,3,16,8,8,13,21,15,29,0,2,3,13,18,60
4824031022,경상남도 사천시 정동면 예수리,-,-,-,-,-,-,1,1,0,0,1,7,0,1,1,2,2,16,0,1,3,6,6,9
4824031023,경상남도 사천시 정동면 화암리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,3,3,18,0,0,1,3,3,14
4824025000,경상남도 사천시 사천읍,-,-,-,-,-,-,8,21,1,4,14,24,29,26,47,40,42,120,5,5,22,45,58,143
4723031029,경상북도 영천시 청통면 신학리,-,-,-,-,-,-,0,4,3,0,1,2,0,0,1,1,2,8,0,0,0,0,1,1
4723031031,경상북도 영천시 청통면 애련리,-,-,-,-,-,-,3,1,2,6,5,1,1,1,1,0,1,3,-,-,-,-,-,-
4723031032,경상북도 영천시 청통면 계포리,0,0,0,0,0,1,0,0,7,2,0,1,0,0,0,0,1,4,0,0,0,0,0,1
4723031034,경상북도 영천시 청통면 신원리,0,0,0,0,1,0,1,1,1,3,8,17,0,0,1,0,1,5,-,-,-,-,-,-
4723032000,경상북도 영천시 신녕면,-,-,-,-,-,-,1,3,4,9,20,26,12,33,37,40,54,116,0,0,0,0,1,9
4723032021,경상북도 영천시 신녕면 치산리,-,-,-,-,-,-,0,0,0,0,1,0,1,2,4,3,4,13,-,-,-,-,-,-
4723032023,경상북도 영천시 신녕면 화서리,-,-,-,-,-,-,0,0,0,0,1,7,0,1,1,3,2,6,0,0,0,0,0,1
4723032025,경상북도 영천시 신녕면 왕산리,-,-,-,-,-,-,0,1,2,2,4,3,1,6,3,4,13,18,0,0,0,0,0,4
4723037031,경상북도 영천시 임고면 우항리,0,0,0,0,0,3,1,0,1,4,12,17,7,10,7,8,4,18,0,2,4,9,13,31
4723036025,경상북도 영천시 자양면 용산리,-,-,-,-,-,-,0,0,0,0,1,2,1,0,0,1,2,3,-,-,-,-,-,-
4723036028,경상북도 영천시 자양면 성곡리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,2,7,-,-,-,-,-,-
4825025022,경상남도 김해시 진영읍 하계리,-,-,-,-,-,-,0,0,0,3,0,8,0,0,0,10,7,2,0,4,5,3,1,18
4825025023,경상남도 김해시 진영읍 방동리,-,-,-,-,-,-,0,0,0,0,7,1,-,-,-,-,-,-,0,0,0,0,2,8
4678032000,전라남도 보성군 미력면,1,0,0,0,0,2,204,19,11,1,7,22,109,78,92,49,87,161,38,91,135,86,272,104
4678032021,전라남도 보성군 미력면 도개리,-,-,-,-,-,-,-,-,-,-,-,-,7,8,13,3,17,14,6,10,11,10,7,10
4678032022,전라남도 보성군 미력면 미력리,0,0,0,0,0,1,9,0,0,0,7,0,14,14,12,11,8,25,3,7,6,6,4,4
4678032024,전라남도 보성군 미력면 용정리,-,-,-,-,-,-,18,0,0,0,0,0,43,12,13,7,19,32,8,16,20,15,9,17
4678032025,전라남도 보성군 미력면 덕림리,-,-,-,-,-,-,7,1,0,0,0,0,3,7,10,3,9,26,11,13,9,7,6,24
4678032027,전라남도 보성군 미력면 초당리,1,0,0,0,0,0,37,0,0,0,0,0,21,11,16,7,13,26,3,10,10,4,9,8
4678033000,전라남도 보성군 겸백면,0,0,0,1,0,1,313,15,11,7,0,9,108,104,111,131,91,171,67,107,120,108,80,86
4678033022,전라남도 보성군 겸백면 운림리,-,-,-,-,-,-,-,-,-,-,-,-,16,25,14,24,29,41,5,10,11,9,3,1
4678033023,전라남도 보성군 겸백면 은덕리,-,-,-,-,-,-,-,-,-,-,-,-,7,2,8,13,11,25,8,14,10,5,3,16
4711131000,경상북도 포항시남구 대송면,0,0,0,0,1,2,-,-,-,-,-,-,0,0,2,0,1,19,0,0,1,0,2,77
