stdg_Cd,bjd_Nm,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
2644010700,부산광역시 강서구 죽동동,4,0,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-,159,157,74,26,10,11
2644010800,부산광역시 강서구 봉림동,3,3,1,1,1,23,3,3,3,3,0,6,1,0,0,0,0,8,114,132,71,25,22,28
4159036030,경기도 화성시 팔탄면 덕우리,-,-,-,-,-,-,0,0,0,0,1,5,1,0,0,0,0,13,4,0,0,0,0,0
4159035026,경기도 화성시 서신면 제부리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,0,2,0,1,0,0,0,0
4159035027,경기도 화성시 서신면 홍법리,-,-,-,-,-,-,2,2,1,4,1,8,1,2,1,1,1,10,7,2,1,0,0,0
4159035029,경기도 화성시 서신면 매화리,-,-,-,-,-,-,0,2,2,0,4,27,48,1,1,1,1,14,2,2,0,0,0,0
4159035030,경기도 화성시 서신면 용두리,-,-,-,-,-,-,8,1,3,3,3,40,1,1,2,1,2,16,22,8,0,0,0,0
4159035032,경기도 화성시 서신면 백미리,-,-,-,-,-,-,1,2,1,1,2,13,0,1,0,0,1,12,11,4,0,0,0,0
4159036000,경기도 화성시 팔탄면,2,1,1,1,2,13,0,1,1,1,1,14,13,8,5,3,4,75,253,70,20,6,1,2
4159036022,경기도 화성시 팔탄면 창곡리,0,0,0,1,0,2,-,-,-,-,-,-,1,1,1,0,0,6,32,2,0,0,0,0
4159036023,경기도 화성시 팔탄면 기천리,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,0,2,36,26,6,1,0,0
4159036025,경기도 화성시 팔탄면 구장리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,9,13,14,8,3,0,1
4159036026,경기도 화성시 팔탄면 율암리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,7,6,1,0,0,0,0
4159036028,경기도 화성시 팔탄면 덕천리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,1,1,0,0,0,0
4615038029,전라남도 순천시 낙안면 평촌리,0,0,0,0,0,10,-,-,-,-,-,-,0,0,0,0,0,1,14,20,16,11,1,6
4673034024,전라남도 구례군 마산면 황전리,-,-,-,-,-,-,614,0,1,0,1,10,7,2,10,23,5,7,27,52,25,17,4,6
4673034025,전라남도 구례군 마산면 갑산리,-,-,-,-,-,-,3,4,1,1,1,6,5,3,4,2,5,10,81,90,53,40,5,11
4673035000,전라남도 구례군 광의면,0,1,0,1,0,68,98,24,14,17,10,98,40,18,37,36,40,92,164,436,293,199,76,70
4673035021,전라남도 구례군 광의면 연파리,0,0,0,0,0,1,1,2,0,2,1,1,1,0,1,2,2,9,14,15,19,27,9,7
4673035023,전라남도 구례군 광의면 대산리,0,0,0,1,0,13,1,0,0,0,0,9,0,1,5,3,2,6,9,74,42,50,13,5
4673035024,전라남도 구례군 광의면 지천리,0,0,0,0,0,44,1,1,2,1,3,13,1,1,3,5,4,11,27,104,70,40,13,12
4673035026,전라남도 구례군 광의면 대전리,0,0,0,0,0,1,3,1,1,4,0,8,1,1,4,4,18,32,14,31,23,10,4,4
4673035027,전라남도 구례군 광의면 온당리,0,0,0,0,0,1,41,15,9,11,6,46,32,9,8,8,3,10,33,97,42,21,11,17
4673036000,전라남도 구례군 용방면,2,1,1,3,2,225,211,85,48,25,45,171,171,31,31,6,5,48,282,281,215,261,159,459
4673036022,전라남도 구례군 용방면 신지리,0,0,0,0,0,5,0,0,0,0,0,1,1,1,1,2,1,5,28,30,28,30,26,48
4874038027,경상남도 창녕군 영산면 신제리,-,-,-,-,-,-,0,0,0,0,1,0,0,0,2,6,5,12,5,15,28,17,1,8
4874038028,경상남도 창녕군 영산면 월령리,0,2,3,3,2,20,0,0,0,0,0,1,0,0,3,3,8,10,0,2,179,128,1,1
4874039000,경상남도 창녕군 장마면,0,1,0,5,5,14,0,6,3,9,8,16,3,12,29,35,64,192,1,103,518,231,7,35
4874039021,경상남도 창녕군 장마면 강리,0,0,0,0,0,1,0,0,0,0,1,0,1,7,2,3,3,15,0,19,68,83,1,2
4723038023,경상북도 영천시 고경면 창상리,0,0,0,0,0,1,2,1,3,1,0,19,1,3,1,4,1,31,7,25,6,5,2,8
4723038024,경상북도 영천시 고경면 대의리,0,0,0,0,0,1,0,4,5,7,3,58,0,1,1,1,0,39,-,-,-,-,-,-
4723038026,경상북도 영천시 고경면 오류리,-,-,-,-,-,-,0,0,2,0,1,4,0,0,0,0,0,15,-,-,-,-,-,-
4723038027,경상북도 영천시 고경면 고도리,-,-,-,-,-,-,0,0,0,0,0,2,0,0,0,2,0,22,0,0,0,0,0,1
4723038029,경상북도 영천시 고경면 용전리,0,0,0,0,0,1,2,0,0,1,2,33,1,0,0,1,1,54,0,2,2,1,0,0
4723038031,경상북도 영천시 고경면 상리리,-,-,-,-,-,-,11,0,0,0,0,6,0,0,1,1,1,17,0,2,6,1,0,1
4723038032,경상북도 영천시 고경면 학리,-,-,-,-,-,-,0,1,1,0,0,4,0,0,1,0,2,8,0,1,1,0,0,0
4723039039,경상북도 영천시 북안면 원당리,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
4824031025,경상남도 사천시 정동면 수청리,-,-,-,-,-,-,0,0,0,0,0,7,0,0,2,2,4,4,2,0,0,1,2,11
4824025021,경상남도 사천시 사천읍 선인리,-,-,-,-,-,-,-,-,-,-,-,-,9,6,0,0,0,3,0,2,6,4,2,2
4824025022,경상남도 사천시 사천읍 정의리,-,-,-,-,-,-,-,-,-,-,-,-,4,0,0,0,0,6,-,-,-,-,-,-
4824025024,경상남도 사천시 사천읍 수석리,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,4,-,-,-,-,-,-
4824025025,경상남도 사천시 사천읍 사주리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,5,2,6,3,2,1,1
4824025028,경상남도 사천시 사천읍 구암리,-,-,-,-,-,-,3,0,0,3,0,1,3,1,6,3,2,83,9,13,11,3,1,2
4824025030,경상남도 사천시 사천읍 금곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,6,0,4,4,1,1,1
4824025031,경상남도 사천시 사천읍 두량리,-,-,-,-,-,-,15,3,1,7,0,6,4,2,2,2,4,79,21,25,18,10,7,14
4824031022,경상남도 사천시 정동면 예수리,-,-,-,-,-,-,2,0,2,0,1,6,2,7,10,2,0,1,3,10,4,2,1,4
4824031023,경상남도 사천시 정동면 화암리,-,-,-,-,-,-,-,-,-,-,-,-,6,9,7,3,4,1,1,5,8,3,2,1
4824025000,경상남도 사천시 사천읍,-,-,-,-,-,-,35,3,1,17,0,16,31,11,13,11,10,228,72,71,61,26,21,26
4723031029,경상북도 영천시 청통면 신학리,-,-,-,-,-,-,0,0,0,1,0,10,0,0,1,0,0,11,0,0,1,0,0,1
4723031031,경상북도 영천시 청통면 애련리,-,-,-,-,-,-,2,0,1,0,1,12,0,0,0,0,0,5,-,-,-,-,-,-
4723031032,경상북도 영천시 청통면 계포리,0,0,0,0,0,1,0,0,5,0,0,5,1,0,0,0,0,4,0,0,0,0,0,1
4723031034,경상북도 영천시 청통면 신원리,0,0,0,0,0,1,0,3,1,1,1,25,0,0,0,0,0,8,-,-,-,-,-,-
4723032000,경상북도 영천시 신녕면,-,-,-,-,-,-,1,0,1,3,2,55,3,5,9,10,11,253,0,0,0,0,0,10
4723032021,경상북도 영천시 신녕면 치산리,-,-,-,-,-,-,0,0,0,0,0,1,1,1,2,2,2,19,-,-,-,-,-,-
4723032023,경상북도 영천시 신녕면 화서리,-,-,-,-,-,-,0,0,0,1,1,6,1,1,2,0,1,7,0,0,0,0,0,1
4723032025,경상북도 영천시 신녕면 왕산리,-,-,-,-,-,-,0,0,0,0,0,12,0,1,0,3,1,41,0,0,0,0,0,4
4723037031,경상북도 영천시 임고면 우항리,0,0,0,0,0,3,0,1,2,1,1,28,1,0,0,0,3,51,21,12,9,4,2,10
4723036025,경상북도 영천시 자양면 용산리,-,-,-,-,-,-,0,0,0,0,0,3,0,1,0,0,0,5,-,-,-,-,-,-
4723036028,경상북도 영천시 자양면 성곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,11,-,-,-,-,-,-
4825025022,경상남도 김해시 진영읍 하계리,-,-,-,-,-,-,1,0,0,0,0,10,0,1,0,2,2,14,1,6,11,11,2,0
4825025023,경상남도 김해시 진영읍 방동리,-,-,-,-,-,-,0,0,5,2,0,1,-,-,-,-,-,-,0,8,3,0,0,0
4678032000,전라남도 보성군 미력면,1,0,0,0,0,2,145,32,10,21,8,48,22,54,37,43,32,389,112,194,294,58,34,33
4678032021,전라남도 보성군 미력면 도개리,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,9,1,37,3,14,9,14,9,6
4678032022,전라남도 보성군 미력면 미력리,0,0,0,0,0,1,7,7,0,0,2,0,1,12,2,1,3,67,7,5,10,3,3,1
4678032024,전라남도 보성군 미력면 용정리,-,-,-,-,-,-,8,7,1,0,3,0,7,13,15,19,7,66,25,31,14,4,4,7
4678032025,전라남도 보성군 미력면 덕림리,-,-,-,-,-,-,2,4,0,1,0,1,0,2,1,4,2,49,17,15,12,10,11,4
4678032027,전라남도 보성군 미력면 초당리,1,0,0,0,0,0,14,0,0,0,2,22,6,10,7,3,8,60,16,11,6,3,1,5
4678033000,전라남도 보성군 겸백면,0,0,0,0,0,2,298,18,10,6,0,23,19,43,43,43,78,491,108,202,140,57,30,32
4678033022,전라남도 보성군 겸백면 운림리,-,-,-,-,-,-,-,-,-,-,-,-,1,4,6,12,19,107,5,9,16,2,1,5
4678033023,전라남도 보성군 겸백면 은덕리,-,-,-,-,-,-,-,-,-,-,-,-,0,5,2,3,4,51,8,30,12,4,1,0
4711131000,경상북도 포항시남구 대송면,0,0,0,0,1,2,-,-,-,-,-,-,3,1,1,2,2,13,52,24,4,1,0,0
4711131021,경상북도 포항시남구 대송면 공수리,0,0,0,0,1,2,-,-,-,-,-,-,0,0,0,0,0,1,10,7,0,0,0,0
