stdg_Cd,bjd_Nm,om_Fachs1_Area,om_Fachs2_Area,om_Fachs3_Area,om_Fachs4_Area,om_Fachs5_Area,om_Fachs6_Area,om_Fruit1_Area,om_Fruit2_Area,om_Fruit3_Area,om_Fruit4_Area,om_Fruit5_Area,om_Fruit6_Area,om_Pfld1_Area,om_Pfld2_Area,om_Pfld3_Area,om_Pfld4_Area,om_Pfld5_Area,om_Pfld6_Area,om_Rfld1_Area,om_Rfld2_Area,om_Rfld3_Area,om_Rfld4_Area,om_Rfld5_Area,om_Rfld6_Area
4673035000,전라남도 구례군 광의면,0,0,5,14,17,34,85,62,57,30,17,11,23,144,52,28,9,7,37,222,634,311,32,3
4673035021,전라남도 구례군 광의면 연파리,0,0,0,1,0,0,5,0,1,0,0,0,1,7,6,1,0,0,1,25,44,17,5,0
4673035023,전라남도 구례군 광의면 대산리,0,0,1,3,3,8,0,4,0,3,0,3,0,6,5,3,1,1,1,30,99,59,4,0
4673035024,전라남도 구례군 광의면 지천리,0,0,3,9,12,20,1,6,8,3,2,1,2,16,4,1,2,1,2,22,133,101,8,1
4673035026,전라남도 구례군 광의면 대전리,0,0,1,0,0,1,2,7,3,4,1,1,4,42,9,4,2,0,3,34,40,9,0,0
4673035027,전라남도 구례군 광의면 온당리,-,-,-,-,-,-,22,39,34,15,12,6,12,29,12,10,3,3,3,40,151,25,1,0
4673036000,전라남도 구례군 용방면,1,4,21,57,66,86,103,194,145,78,28,37,30,128,71,36,18,9,24,244,623,298,42,425
4673036022,전라남도 구례군 용방면 신지리,0,0,0,1,2,3,0,1,0,1,0,0,0,3,4,1,1,1,1,14,85,29,7,55
4874038027,경상남도 창녕군 영산면 신제리,-,-,-,-,-,-,0,1,0,0,0,0,0,13,13,0,0,0,0,19,32,15,6,0
4874038028,경상남도 창녕군 영산면 월령리,1,5,13,9,2,0,0,0,1,0,0,0,0,12,9,3,0,1,0,39,195,76,0,0
4874039000,경상남도 창녕군 장마면,0,1,21,3,0,0,3,24,7,2,1,4,4,160,96,30,12,33,3,117,659,115,1,0
4874039021,경상남도 창녕군 장마면 강리,0,0,2,0,0,0,0,1,0,0,0,0,0,10,9,2,7,3,0,16,133,23,0,0
4723038023,경상북도 영천시 고경면 창상리,0,0,0,0,1,0,3,2,7,5,3,6,6,11,10,10,3,0,2,13,27,10,2,0
4723038024,경상북도 영천시 고경면 대의리,0,0,0,1,0,0,5,21,20,13,8,9,2,8,14,10,5,3,-,-,-,-,-,-
4723038026,경상북도 영천시 고경면 오류리,-,-,-,-,-,-,0,1,4,1,0,1,3,8,3,1,0,0,-,-,-,-,-,-
4723038027,경상북도 영천시 고경면 고도리,-,-,-,-,-,-,2,0,0,0,0,0,1,10,9,2,0,2,-,-,-,-,-,-
4723038029,경상북도 영천시 고경면 용전리,0,0,1,0,0,0,1,3,12,12,4,6,5,23,13,12,3,1,0,3,1,0,0,0
4723038031,경상북도 영천시 고경면 상리리,-,-,-,-,-,-,0,11,1,2,1,2,2,4,9,4,1,2,0,2,4,3,0,0
4723038032,경상북도 영천시 고경면 학리,-,-,-,-,-,-,1,0,1,1,2,1,1,3,4,0,1,0,0,2,0,0,0,0
4723039039,경상북도 영천시 북안면 원당리,-,-,-,-,-,-,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
4824031025,경상남도 사천시 정동면 수청리,-,-,-,-,-,-,0,4,3,1,0,0,0,4,4,2,1,1,0,2,9,5,0,0
4824025021,경상남도 사천시 사천읍 선인리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,16,0,0,5,5,5,2
4824025022,경상남도 사천시 사천읍 정의리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,1,1,6,-,-,-,-,-,-
4824025024,경상남도 사천시 사천읍 수석리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,1,1,-,-,-,-,-,-
4824025025,경상남도 사천시 사천읍 사주리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,0,0,1,0,2,9,4,0,0
4824025028,경상남도 사천시 사천읍 구암리,-,-,-,-,-,-,2,3,1,0,0,0,0,29,45,15,5,5,0,17,20,2,0,0
4824025030,경상남도 사천시 사천읍 금곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,0,0,5,0,4,7,1,0,0
4824025031,경상남도 사천시 사천읍 두량리,-,-,-,-,-,-,9,8,6,5,4,0,3,30,38,15,6,3,6,32,41,14,1,1
4824031022,경상남도 사천시 정동면 예수리,-,-,-,-,-,-,0,4,3,0,2,1,0,5,11,2,3,2,0,6,11,6,1,0
4824031023,경상남도 사천시 정동면 화암리,-,-,-,-,-,-,-,-,-,-,-,-,0,6,12,6,3,1,0,0,2,6,8,5
4824025000,경상남도 사천시 사천읍,-,-,-,-,-,-,13,23,14,15,6,2,17,69,106,42,23,47,26,88,119,33,8,3
4723031029,경상북도 영천시 청통면 신학리,-,-,-,-,-,-,0,1,3,1,4,1,0,4,3,3,1,1,0,0,1,0,0,0
4723031031,경상북도 영천시 청통면 애련리,-,-,-,-,-,-,1,2,6,5,1,1,1,2,2,1,1,0,-,-,-,-,-,-
4723031032,경상북도 영천시 청통면 계포리,0,1,0,0,0,0,6,1,3,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
4723031034,경상북도 영천시 청통면 신원리,0,0,0,0,0,1,0,4,10,8,3,6,0,2,2,2,1,2,-,-,-,-,-,-
4723032000,경상북도 영천시 신녕면,-,-,-,-,-,-,4,6,16,13,13,11,10,44,78,64,41,54,1,1,4,3,1,0
4723032021,경상북도 영천시 신녕면 치산리,-,-,-,-,-,-,0,0,0,0,1,0,1,6,8,5,1,5,-,-,-,-,-,-
4723032023,경상북도 영천시 신녕면 화서리,-,-,-,-,-,-,1,0,1,1,1,2,1,6,1,1,3,1,-,-,-,-,-,-
4723032025,경상북도 영천시 신녕면 왕산리,-,-,-,-,-,-,2,0,1,5,1,3,1,2,12,12,11,9,0,1,2,1,0,0
4723037031,경상북도 영천시 임고면 우항리,0,0,0,0,0,2,4,5,7,10,1,7,9,17,21,5,3,0,2,26,18,11,1,0
4723036025,경상북도 영천시 자양면 용산리,-,-,-,-,-,-,0,0,0,0,1,2,1,3,2,1,0,0,-,-,-,-,-,-
4723036028,경상북도 영천시 자양면 성곡리,-,-,-,-,-,-,-,-,-,-,-,-,1,6,3,2,0,1,-,-,-,-,-,-
4825025022,경상남도 김해시 진영읍 하계리,-,-,-,-,-,-,1,0,0,4,2,3,0,3,9,7,0,0,0,12,19,1,0,0
4825025023,경상남도 김해시 진영읍 방동리,-,-,-,-,-,-,0,4,4,1,0,0,-,-,-,-,-,-,0,1,10,0,0,0
4678032000,전라남도 보성군 미력면,0,0,1,1,2,0,33,68,46,42,41,34,25,97,192,154,68,41,10,96,259,337,18,5
4678032021,전라남도 보성군 미력면 도개리,-,-,-,-,-,-,-,-,-,-,-,-,7,19,20,12,3,0,2,8,23,16,2,2
4678032022,전라남도 보성군 미력면 미력리,0,0,0,1,1,0,0,7,2,7,0,0,3,9,45,25,2,1,0,7,13,9,1,0
4678032024,전라남도 보성군 미력면 용정리,-,-,-,-,-,-,1,4,6,4,0,4,3,17,34,42,21,10,3,17,41,21,2,1
4678032025,전라남도 보성군 미력면 덕림리,-,-,-,-,-,-,0,5,1,0,2,0,1,13,23,18,3,1,2,24,34,9,1,0
4678032027,전라남도 보성군 미력면 초당리,0,0,0,0,1,0,18,3,3,2,11,0,2,23,17,21,16,15,0,6,22,14,0,1
4678033000,전라남도 보성군 겸백면,0,0,1,1,0,0,31,40,34,114,93,43,14,157,228,199,92,27,20,112,186,94,25,129
4678033022,전라남도 보성군 겸백면 운림리,-,-,-,-,-,-,-,-,-,-,-,-,4,25,46,46,20,9,2,10,14,2,0,10
4678033023,전라남도 보성군 겸백면 은덕리,-,-,-,-,-,-,-,-,-,-,-,-,0,4,22,31,8,1,2,8,10,4,2,30
4711131000,경상북도 포항시남구 대송면,0,1,0,1,0,0,-,-,-,-,-,-,1,4,7,4,2,4,0,24,47,9,0,0
4711131021,경상북도 포항시남구 대송면 공수리,0,1,0,1,0,0,-,-,-,-,-,-,0,0,1,0,0,0,0,6,9,2,0,0
4711131023,경상북도 포항시남구 대송면 홍계리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,3,2,3,0,3,2,0,0,0
4711131024,경상북도 포항시남구 대송면 산여리,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,-,-
