stdg_Cd,bjd_Nm,posifertmg_Fachs1_Area,posifertmg_Fachs2_Area,posifertmg_Fachs3_Area,posifertmg_Fachs4_Area,posifertmg_Fachs5_Area,posifertmg_Fachs6_Area,posifertmg_Fruit1_Area,posifertmg_Fruit2_Area,posifertmg_Fruit3_Area,posifertmg_Fruit4_Area,posifertmg_Fruit5_Area,posifertmg_Fruit6_Area,posifertmg_Pfld1_Area,posifertmg_Pfld2_Area,posifertmg_Pfld3_Area,posifertmg_Pfld4_Area,posifertmg_Pfld5_Area,posifertmg_Pfld6_Area,posifertmg_Rfld1_Area,posifertmg_Rfld2_Area,posifertmg_Rfld3_Area,posifertmg_Rfld4_Area,posifertmg_Rfld5_Area,posifertmg_Rfld6_Area
4161033022,경기도 광주시 도척면 유정리,1,3,1,0,1,2,0,1,0,0,0,0,1,4,6,5,2,2,61,181,141,38,6,6
4159025332,경기도 화성시 봉담읍 유리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,1,0,0,0,0
4159025300,경기도 화성시 봉담읍,0,1,1,1,2,2,5,2,3,1,2,1,146,28,38,16,11,51,14,58,39,7,1,3
4159025322,경기도 화성시 봉담읍 내리,0,0,0,0,0,1,-,-,-,-,-,-,8,0,1,1,2,4,1,4,2,0,0,0
4159025323,경기도 화성시 봉담읍 수영리,-,-,-,-,-,-,5,2,2,0,0,0,5,0,0,0,0,0,0,3,4,1,0,0
4159025325,경기도 화성시 봉담읍 와우리,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,-,-,-,-,-,-
4159025326,경기도 화성시 봉담읍 수기리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,1,1,0,0,0,1,0,0,0,0
4159025328,경기도 화성시 봉담읍 왕림리,0,0,0,0,1,0,-,-,-,-,-,-,3,0,0,1,4,10,0,2,1,0,0,0
4159025329,경기도 화성시 봉담읍 세곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,0,0,0
4691033024,전라남도 신안군 자은면 유천리,-,-,-,-,-,-,-,-,-,-,-,-,9,27,42,21,5,1,1,0,1,4,9,21
4691033025,전라남도 신안군 자은면 유각리,-,-,-,-,-,-,-,-,-,-,-,-,2,40,48,39,19,71,0,1,7,5,4,31
4691033026,전라남도 신안군 자은면 면전리,-,-,-,-,-,-,-,-,-,-,-,-,0,10,19,18,5,1,0,1,4,5,8,23
4691033028,전라남도 신안군 자은면 고장리,-,-,-,-,-,-,-,-,-,-,-,-,4,52,33,31,15,9,0,2,4,6,9,72
4691033029,전라남도 신안군 자은면 구영리,-,-,-,-,-,-,-,-,-,-,-,-,2,18,47,35,19,8,1,3,5,9,10,43
4691034021,전라남도 신안군 비금면 광대리,-,-,-,-,-,-,-,-,-,-,-,-,4,19,31,11,4,1,0,1,2,1,1,6
4691034022,전라남도 신안군 비금면 용소리,-,-,-,-,-,-,-,-,-,-,-,-,1,7,8,2,1,0,0,1,3,3,3,21
4691034024,전라남도 신안군 비금면 가산리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,14,7,2,6,0,0,0,1,1,6
4691034025,전라남도 신안군 비금면 덕산리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,10,17,3,6,0,0,1,2,2,30
4691034027,전라남도 신안군 비금면 구림리,-,-,-,-,-,-,-,-,-,-,-,-,0,7,21,11,3,1,0,1,1,2,2,11
4691034028,전라남도 신안군 비금면 신원리,-,-,-,-,-,-,-,-,-,-,-,-,1,14,19,14,8,4,0,2,6,3,2,16
2644010500,부산광역시 강서구 죽림동,0,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,7,21,115
2644010600,부산광역시 강서구 식만동,0,0,0,1,2,25,-,-,-,-,-,-,0,0,0,0,0,1,2,2,1,5,19,69
2644010700,부산광역시 강서구 죽동동,0,0,1,0,0,8,-,-,-,-,-,-,0,0,0,1,1,0,7,8,3,5,20,393
2644010800,부산광역시 강서구 봉림동,0,2,3,1,6,18,0,8,0,6,3,0,0,2,1,2,1,4,7,9,7,6,17,346
4159036030,경기도 화성시 팔탄면 덕우리,-,-,-,-,-,-,1,4,1,0,0,0,0,1,6,4,1,3,0,2,1,0,1,1
4159035026,경기도 화성시 서신면 제부리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,0,0,0,0,0,0,1,0,0
4159035027,경기도 화성시 서신면 홍법리,-,-,-,-,-,-,0,3,3,3,2,6,2,3,4,3,1,3,0,2,2,3,2,1
4159035029,경기도 화성시 서신면 매화리,-,-,-,-,-,-,0,1,2,6,5,21,1,5,4,3,3,52,0,0,0,3,0,1
4159035030,경기도 화성시 서신면 용두리,-,-,-,-,-,-,4,4,6,10,9,24,1,5,8,2,1,5,0,0,2,4,2,22
4159035032,경기도 화성시 서신면 백미리,-,-,-,-,-,-,0,1,2,2,6,8,1,2,4,3,1,3,0,0,0,2,5,7
4159036000,경기도 화성시 팔탄면,0,0,1,0,3,16,1,4,1,2,4,5,6,25,27,21,14,15,21,90,72,34,17,118
4159036022,경기도 화성시 팔탄면 창곡리,0,0,0,0,1,2,-,-,-,-,-,-,0,3,2,2,2,0,0,5,10,10,5,3
4159036023,경기도 화성시 팔탄면 기천리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,0,1,13,38,13,4,1,0
4159036025,경기도 화성시 팔탄면 구장리,0,0,0,0,1,0,-,-,-,-,-,-,2,4,4,2,1,0,4,20,12,2,0,0
4159036026,경기도 화성시 팔탄면 율암리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,3,2,1,2,0,1,3,2,0,0
4159036028,경기도 화성시 팔탄면 덕천리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,0,0,0,0,1,1,0,0,0
4615038029,전라남도 순천시 낙안면 평촌리,0,0,1,0,0,9,-,-,-,-,-,-,0,0,0,1,0,0,5,10,20,18,14,3
4673034024,전라남도 구례군 마산면 황전리,-,-,-,-,-,-,614,2,2,4,0,3,14,17,14,3,4,2,6,46,61,10,1,2
4673034025,전라남도 구례군 마산면 갑산리,-,-,-,-,-,-,7,3,1,3,1,1,2,2,19,2,0,2,26,126,74,25,13,8
4673035000,전라남도 구례군 광의면,1,2,5,6,10,47,105,35,30,32,18,41,36,33,122,34,14,20,159,605,303,83,27,38
4673035021,전라남도 구례군 광의면 연파리,0,0,0,1,0,0,2,2,0,0,0,1,1,3,5,2,1,4,16,42,19,11,0,1
4673035023,전라남도 구례군 광의면 대산리,0,1,2,1,2,8,1,1,0,3,0,6,0,3,5,4,1,2,19,118,45,5,3,1
4673035024,전라남도 구례군 광의면 지천리,1,0,2,2,6,33,2,9,4,2,2,2,1,5,17,1,1,1,23,126,76,15,6,16
4673035026,전라남도 구례군 광의면 대전리,0,0,0,1,0,1,2,1,5,2,2,5,2,4,30,14,4,6,7,40,26,8,1,1
4673035027,전라남도 구례군 광의면 온당리,-,-,-,-,-,-,45,15,14,22,10,22,24,7,24,9,1,3,25,112,52,15,2,9
4673036000,전라남도 구례군 용방면,7,23,29,35,41,100,263,154,53,59,31,24,200,38,17,12,9,12,613,575,267,110,36,30
4673036022,전라남도 구례군 용방면 신지리,0,1,1,0,0,4,0,1,0,0,0,1,1,1,1,2,1,2,39,50,43,38,11,9
4874038027,경상남도 창녕군 영산면 신제리,-,-,-,-,-,-,0,0,1,0,0,0,2,4,9,7,0,2,8,2,9,16,12,14
4874038028,경상남도 창녕군 영산면 월령리,0,0,3,4,3,20,0,0,0,1,0,0,3,5,8,4,2,1,6,2,2,2,1,0
4874039000,경상남도 창녕군 장마면,0,0,6,8,4,7,6,1,15,10,8,2,1,12,94,168,51,7,51,16,75,39,15,15
4874039021,경상남도 창녕군 장마면 강리,0,0,1,1,0,0,0,0,1,1,0,0,0,0,9,16,4,1,8,1,11,3,0,1
4723038023,경상북도 영천시 고경면 창상리,0,0,0,0,1,0,1,1,4,9,2,9,0,8,14,3,8,8,0,7,10,20,7,10
4723038024,경상북도 영천시 고경면 대의리,0,0,0,0,0,1,0,0,7,23,19,28,1,7,11,11,7,4,-,-,-,-,-,-
4723038026,경상북도 영천시 고경면 오류리,-,-,-,-,-,-,0,0,0,1,1,5,0,0,3,4,3,6,0,0,0,0,0,1
4723038027,경상북도 영천시 고경면 고도리,-,-,-,-,-,-,0,0,0,0,2,0,0,4,5,6,3,7,0,0,0,0,0,1
4723038029,경상북도 영천시 고경면 용전리,0,0,0,0,1,0,0,1,6,9,11,12,4,17,18,6,6,7,0,0,1,1,0,3
4723038031,경상북도 영천시 고경면 상리리,-,-,-,-,-,-,10,0,0,1,3,2,0,0,1,3,4,12,0,0,0,1,0,8
4723038032,경상북도 영천시 고경면 학리,-,-,-,-,-,-,0,2,0,0,2,1,0,1,1,3,1,5,0,0,0,0,0,2
4723039039,경상북도 영천시 북안면 원당리,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
4824031025,경상남도 사천시 정동면 수청리,-,-,-,-,-,-,2,2,2,1,0,0,0,0,0,0,1,10,0,11,4,1,0,0
4824025021,경상남도 사천시 사천읍 선인리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,5,2,3,5,0,3,7,4,3,0
4824025022,경상남도 사천시 사천읍 정의리,-,-,-,-,-,-,-,-,-,-,-,-,0,3,4,1,0,2,-,-,-,-,-,-
4824025024,경상남도 사천시 사천읍 수석리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,1,1,-,-,-,-,-,-
4824025025,경상남도 사천시 사천읍 사주리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,1,1,1,5,6,4,0,0
4824025028,경상남도 사천시 사천읍 구암리,-,-,-,-,-,-,0,0,1,3,0,3,1,14,18,15,18,34,0,6,10,15,6,3
4824025030,경상남도 사천시 사천읍 금곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,2,1,0,5,4,2,0,0
4824025031,경상남도 사천시 사천읍 두량리,-,-,-,-,-,-,8,0,3,2,4,16,0,4,15,17,11,47,0,10,19,21,21,26
4824031022,경상남도 사천시 정동면 예수리,-,-,-,-,-,-,2,0,0,0,3,5,2,0,0,2,6,11,2,8,7,5,2,1
4824031023,경상남도 사천시 정동면 화암리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,3,2,20,0,4,6,8,2,1
4824025000,경상남도 사천시 사천읍,-,-,-,-,-,-,10,4,11,12,12,23,1,27,57,52,42,125,8,45,66,59,36,64
4723031029,경상북도 영천시 청통면 신학리,-,-,-,-,-,-,0,0,1,1,4,3,0,0,1,2,3,7,0,0,1,0,0,1
4723031031,경상북도 영천시 청통면 애련리,-,-,-,-,-,-,0,0,8,5,2,2,0,0,1,2,1,2,-,-,-,-,-,-
4723031032,경상북도 영천시 청통면 계포리,0,0,0,0,1,0,0,0,1,2,6,2,0,1,1,1,1,2,-,-,-,-,-,-
4723031034,경상북도 영천시 청통면 신원리,0,0,0,1,0,0,0,2,1,15,3,10,0,2,3,1,2,1,-,-,-,-,-,-
4723032000,경상북도 영천시 신녕면,-,-,-,-,-,-,0,2,5,20,12,24,2,28,52,63,60,86,0,0,0,0,8,2
4723032021,경상북도 영천시 신녕면 치산리,-,-,-,-,-,-,0,0,0,1,0,1,0,7,6,4,4,4,-,-,-,-,-,-
4723032023,경상북도 영천시 신녕면 화서리,-,-,-,-,-,-,0,0,1,1,4,1,0,2,4,1,3,1,0,0,0,0,1,0
4723032025,경상북도 영천시 신녕면 왕산리,-,-,-,-,-,-,0,2,1,6,2,1,0,1,3,18,12,12,0,0,0,0,3,1
4723037031,경상북도 영천시 임고면 우항리,0,0,2,0,0,1,0,0,2,8,5,20,0,5,5,8,8,29,0,4,6,10,10,28
4723036025,경상북도 영천시 자양면 용산리,-,-,-,-,-,-,0,0,0,1,0,2,0,0,2,2,1,2,-,-,-,-,-,-
4723036028,경상북도 영천시 자양면 성곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,2,6,-,-,-,-,-,-
4825025022,경상남도 김해시 진영읍 하계리,-,-,-,-,-,-,0,0,0,2,1,7,0,0,15,2,2,0,0,6,7,3,8,7
4825025023,경상남도 김해시 진영읍 방동리,-,-,-,-,-,-,0,0,0,1,2,5,-,-,-,-,-,-,0,0,4,3,4,0
4678032000,전라남도 보성군 미력면,0,1,0,0,0,2,143,45,50,15,2,9,81,121,104,98,71,103,75,233,311,37,16,53
4678032021,전라남도 보성군 미력면 도개리,-,-,-,-,-,-,-,-,-,-,-,-,4,22,15,8,1,12,10,23,8,2,1,10
4678032022,전라남도 보성군 미력면 미력리,0,0,0,0,0,1,9,0,0,7,0,0,10,12,15,20,12,16,6,15,4,1,0,3
4678032024,전라남도 보성군 미력면 용정리,-,-,-,-,-,-,18,0,0,0,0,0,35,27,23,14,12,16,9,32,26,9,6,3
4678032025,전라남도 보성군 미력면 덕림리,-,-,-,-,-,-,5,3,0,0,0,0,3,10,7,5,12,21,12,27,7,2,1,20
4678032027,전라남도 보성군 미력면 초당리,0,1,0,0,0,0,9,11,17,0,0,0,13,27,14,19,6,15,14,12,8,3,1,5
4678033000,전라남도 보성군 겸백면,0,0,1,0,1,0,288,26,28,3,4,7,92,193,161,131,90,50,108,267,138,36,10,8
4678033022,전라남도 보성군 겸백면 운림리,-,-,-,-,-,-,-,-,-,-,-,-,22,17,22,32,33,22,9,20,6,2,2,0
4678033023,전라남도 보성군 겸백면 은덕리,-,-,-,-,-,-,-,-,-,-,-,-,7,32,8,16,3,0,13,21,18,2,0,0
4711131000,경상북도 포항시남구 대송면,0,0,0,1,1,1,-,-,-,-,-,-,2,0,2,1,2,16,0,1,1,9,9,61
