acid_Fachs1_Area,acid_Fachs2_Area,acid_Fachs3_Area,acid_Fachs4_Area,acid_Fachs5_Area,acid_Fachs6_Area,acid_Fruit1_Area,acid_Fruit2_Area,acid_Fruit3_Area,acid_Fruit4_Area,acid_Fruit5_Area,acid_Fruit6_Area,acid_Pfld1_Area,acid_Pfld2_Area,acid_Pfld3_Area,acid_Pfld4_Area,acid_Pfld5_Area,acid_Pfld6_Area,acid_Rfld1_Area,acid_Rfld2_Area,acid_Rfld3_Area,acid_Rfld4_Area,acid_Rfld5_Area,acid_Rfld6_Area,bjd_Nm,stdg_Cd
0,0,0,0,1,6,0,5,3,5,5,16,0,1,1,2,4,5,0,0,0,0,0,1,경상북도 의성군 안평면 창길리,4773046034
-,-,-,-,-,-,0,9,6,14,10,14,0,0,1,1,2,2,0,0,0,0,0,1,경상북도 의성군 안평면 괴산리,4773046035
0,0,0,0,0,2,6,1,2,2,1,3,2,2,2,7,4,4,-,-,-,-,-,-,경상북도 영천시 금호읍 원기리,4723025037
0,0,1,2,1,4,7,8,7,10,10,16,8,8,6,13,12,15,-,-,-,-,-,-,경상북도 영천시 금호읍 신대리,4723025038
-,-,-,-,-,-,4,6,1,0,2,5,4,4,6,14,5,1,-,-,-,-,-,-,경상북도 영천시 금호읍 남성리,4723025039
0,0,0,1,2,2,3,6,5,7,12,21,10,9,6,23,14,6,0,0,0,0,1,0,경상북도 영천시 금호읍 황정리,4723025041
-,-,-,-,-,-,1,1,2,3,5,7,1,2,1,2,3,3,-,-,-,-,-,-,경상북도 영천시 청통면 호당리,4723031021
-,-,-,-,-,-,0,0,0,0,1,1,1,3,2,1,1,1,-,-,-,-,-,-,경상북도 영천시 청통면 우천리,4723031022
-,-,-,-,-,-,0,0,1,1,1,2,1,2,1,0,0,0,-,-,-,-,-,-,경상북도 영천시 청통면 신덕리,4723031024
0,1,1,2,2,6,5,3,1,3,10,12,13,19,9,17,19,6,0,0,0,0,0,1,경상북도 영천시 금호읍 관정리,4723025030
0,0,0,0,1,0,1,0,2,4,2,10,2,2,0,12,6,11,0,0,0,0,1,0,경상북도 영천시 금호읍 구암리,4723025031
-,-,-,-,-,-,4,2,1,1,1,2,6,11,8,5,7,2,-,-,-,-,-,-,경상북도 영천시 금호읍 대곡리,4723025033
0,0,0,0,0,1,2,2,4,3,4,4,4,3,1,2,3,2,-,-,-,-,-,-,경상북도 영천시 금호읍 호남리,4723025034
0,0,0,0,0,2,1,1,6,3,7,12,0,2,8,19,22,4,0,0,0,1,1,3,경상북도 영천시 화산면 유성리,4723033033
1,1,3,50,4,16,0,8,10,14,3,3,27,79,25,40,17,33,1,2,26,35,34,43,경상남도 김해시 상동면,4825036000
-,-,-,-,-,-,0,1,3,0,0,0,1,5,9,2,2,0,0,0,6,8,9,6,경상남도 김해시 한림면 용덕리,4825034025
-,-,-,-,-,-,-,-,-,-,-,-,0,5,5,1,0,0,0,7,24,2,1,1,경상남도 김해시 한림면 안곡리,4825034026
-,-,-,-,-,-,0,0,1,1,0,0,0,15,25,7,6,15,0,4,67,84,50,40,경상남도 김해시 한림면 장방리,4825034028
0,0,0,1,2,3,-,-,-,-,-,-,0,0,2,31,36,68,0,1,38,61,52,50,경상남도 김해시 한림면 시산리,4825034029
1,0,0,2,4,10,1,3,11,24,4,6,7,16,67,32,33,11,0,5,38,30,25,14,경상남도 김해시 주촌면,4825032000
0,0,0,1,2,6,0,0,6,18,0,3,0,0,3,4,6,2,0,1,7,6,5,3,경상남도 김해시 주촌면 원지리,4825032022
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,3,1,1,1,경상남도 김해시 주촌면 덕암리,4825032023
0,0,1,6,10,15,23,5,20,20,32,90,2,1,6,10,16,21,116,2,17,20,34,43,충청남도 논산시 광석면 율리,4423032032
0,1,1,3,1,0,1,1,1,1,1,1,0,3,5,3,2,1,33,6,15,10,2,3,충청남도 논산시 광석면 오강리,4423032033
0,0,2,2,5,4,0,7,0,8,0,12,1,3,8,6,7,12,8,1,2,8,5,11,충청남도 논산시 노성면 읍내리,4423033021
-,-,-,-,-,-,-,-,-,-,-,-,0,4,7,4,2,9,2,1,0,0,2,0,충청남도 논산시 노성면 두사리,4423033022
0,0,0,0,3,3,0,0,0,2,0,0,0,9,5,5,3,8,9,1,2,2,1,8,충청남도 논산시 노성면 송당리,4423033023
0,3,6,16,10,27,0,0,0,0,0,1,0,1,2,4,6,11,18,8,23,14,13,9,충청남도 논산시 노성면 하도리,4423033025
0,0,0,3,1,1,0,5,14,17,26,63,1,8,16,18,31,49,0,3,9,17,15,1,경상북도 영주시 부석면 보계리,4721039030
-,-,-,-,-,-,3,8,17,11,10,20,23,9,5,7,3,2,-,-,-,-,-,-,경상북도 영천시 금호읍 오계리,4723025036
0,0,0,1,3,24,0,1,0,1,0,0,7,18,10,10,18,39,2,18,34,30,32,19,경상남도 합천군 대양면,4889041000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,경상남도 합천군 대양면 정양리,4889041021
-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,0,0,0,2,2,2,1,1,경상남도 합천군 대양면 아천리,4889041022
0,0,0,0,0,2,-,-,-,-,-,-,2,5,0,1,4,3,0,4,5,4,5,6,경상남도 합천군 대양면 무곡리,4889041024
0,0,0,0,0,2,-,-,-,-,-,-,1,2,1,2,2,8,0,2,4,5,2,3,경상남도 합천군 대양면 덕정리,4889041025
0,0,0,0,1,2,-,-,-,-,-,-,0,1,5,1,1,0,0,0,26,29,7,6,경상남도 김해시 진례면 신안리,4825033025
-,-,-,-,-,-,0,1,20,6,1,0,0,6,9,5,0,1,0,6,24,11,6,2,경상남도 김해시 진례면 산본리,4825033026
0,0,0,1,3,4,-,-,-,-,-,-,0,0,2,0,0,0,0,20,62,43,8,4,경상남도 김해시 진례면 신월리,4825033027
0,0,0,2,2,1,1,0,0,0,0,0,0,2,14,9,5,3,0,15,74,42,23,11,경상남도 김해시 진례면 담안리,4825033029
1,1,1,4,4,10,5,15,7,13,0,3,7,97,111,77,77,142,0,24,284,341,370,323,경상남도 김해시 한림면,4825034000
-,-,-,-,-,-,-,-,-,-,-,-,0,11,8,0,0,0,0,0,14,9,11,11,경상남도 김해시 한림면 명동리,4825034021
-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,7,1,0,0,12,8,6,6,경상남도 김해시 한림면 병동리,4825034023
-,-,-,-,-,-,0,2,0,0,0,0,4,5,2,6,3,1,0,1,3,2,3,1,충청남도 보령시 미산면 늑전리,4418039025
-,-,-,-,-,-,4,15,4,3,0,0,8,35,13,6,3,1,0,3,4,16,10,2,충청남도 보령시 미산면 도흥리,4418039026
-,-,-,-,-,-,2,11,0,0,0,0,7,25,9,3,1,1,0,0,1,3,5,1,충청남도 보령시 미산면 봉성리,4418039027
-,-,-,-,-,-,4,16,0,0,0,0,3,14,6,4,0,0,0,1,1,8,10,2,충청남도 보령시 미산면 은현리,4418039029
-,-,-,-,-,-,-,-,-,-,-,-,3,11,7,2,1,1,0,1,3,4,4,1,충청남도 보령시 미산면 내평리,4418039030
0,1,2,3,7,5,2,1,0,5,4,0,1,3,3,6,6,6,22,8,14,26,18,11,충청남도 논산시 노성면 죽림리,4423033026
3,0,0,0,1,2,0,0,0,0,0,5,1,4,6,7,5,4,92,13,36,31,17,41,충청남도 논산시 광석면 갈산리,4423032024
2,2,2,1,5,3,0,0,0,1,0,4,0,0,0,2,2,2,36,17,33,43,20,12,충청남도 논산시 광석면 광리,4423032025
3,5,9,19,13,21,-,-,-,-,-,-,0,0,0,1,2,2,15,16,18,16,3,13,충청남도 논산시 광석면 산동리,4423032027
0,6,14,22,35,18,-,-,-,-,-,-,0,1,1,4,11,5,43,4,16,15,4,10,충청남도 논산시 광석면 왕전리,4423032029
1,1,3,6,24,34,0,2,0,0,1,0,1,2,2,3,7,3,43,3,2,1,4,1,충청남도 논산시 광석면 항월리,4423032030
-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,0,0,0,0,2,0,경상북도 안동시 일직면 조탑리,4717035030
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,2,0,0,0,2,4,2,경상북도 안동시 풍천면 금계리,4717034027
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,경상북도 안동시 풍천면 구호리,4717034028
0,0,0,0,0,1,0,3,0,3,2,0,4,5,35,29,1,2,0,0,1,2,3,3,경상북도 안동시 풍천면 어담리,4717034029
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,4,0,0,8,14,19,17,경상북도 안동시 풍천면 가곡리,4717034031
0,0,0,0,0,1,-,-,-,-,-,-,0,1,1,1,1,8,0,4,39,24,149,19,경상북도 안동시 풍천면 하회리,4717034033
2,6,5,3,8,12,2,1,3,6,6,35,8,25,26,27,25,57,0,1,6,23,24,20,경상북도 안동시 일직면,4717035000
-,-,-,-,-,-,0,0,1,2,3,5,1,2,3,3,3,7,0,0,1,2,3,2,경상북도 안동시 일직면 귀미리,4717035021
-,-,-,-,-,-,0,0,0,0,1,8,1,6,3,5,5,10,0,0,2,3,2,4,경상북도 안동시 일직면 망호리,4717035023
-,-,-,-,-,-,0,1,1,3,3,4,0,1,1,2,3,3,1,1,5,4,2,1,경상북도 영천시 조교동,4723010100
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,1,-,-,-,-,-,-,경상북도 영천시 야사동,4723010300
0,3,5,5,5,1,0,0,0,0,0,2,0,0,1,1,3,2,0,1,1,7,13,0,경상북도 영주시 안정면 대평리,4721035032
0,0,4,2,1,2,0,2,2,0,2,3,0,0,6,4,12,3,1,8,30,52,29,10,경상북도 영주시 안정면 오계리,4721035033
-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,0,0,0,0,2,2,경상북도 영덕군 남정면 사암리,4777032042
-,-,-,-,-,-,0,0,1,1,2,0,1,13,15,10,7,1,0,2,3,13,22,20,전라남도 영광군 법성면 입암리,4687037026
0,0,0,0,1,1,0,0,3,2,0,0,9,17,36,39,26,6,2,21,69,66,31,20,전라남도 영광군 법성면 월산리,4687037028
-,-,-,-,-,-,0,1,4,0,0,0,1,9,23,17,19,5,0,6,21,16,11,2,전라남도 보성군 겸백면 용산리,4678033026
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,전라남도 장성군 장성읍 용곡리,4688025036
-,-,-,-,-,-,14,25,12,7,16,18,42,17,11,19,12,15,36,119,72,46,28,29,울산광역시 울주군 온양읍,3171025600
-,-,-,-,-,-,7,20,6,0,12,11,0,5,4,3,4,3,4,7,8,9,1,5,울산광역시 울주군 온양읍 발리,3171025621
-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,1,0,3,5,1,1,0,울산광역시 울주군 온양읍 망양리,3171025623
-,-,-,-,-,-,0,0,0,5,0,0,2,1,0,0,0,0,16,12,6,2,4,1,울산광역시 울주군 온양읍 남창리,3171025624
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,2,1,1,2,경상북도 포항시남구 대송면 송동리,4711131026
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,2,2,1,경상북도 포항시남구 대송면 제내리,4711131027
0,0,0,0,2,2,0,0,0,1,0,0,1,4,1,3,3,12,0,4,14,7,9,8,경상북도 포항시남구 동해면,4711132000
0,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,2,1,2,경상북도 포항시남구 동해면 약전리,4711132022
0,0,0,1,1,0,-,-,-,-,-,-,1,4,5,4,1,2,0,0,0,1,0,1,충청북도 음성군 맹동면 통동리,4377033029
2,10,16,16,40,75,6,5,7,7,13,64,109,164,170,107,135,147,5,45,366,254,99,38,충청북도 음성군 대소면,4377034000
0,0,0,0,3,0,-,-,-,-,-,-,0,5,5,3,3,3,0,0,4,4,2,1,충청북도 음성군 맹동면 본성리,4377033027
4,2,15,11,8,11,1,1,3,2,1,0,2,6,16,18,31,49,7,25,377,434,195,64,경기도 광주시 도척면,4161033000
-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,-,-,-,-,-,-,경기도 화성시 봉담읍 유리,4159025332
0,0,1,1,1,3,0,0,4,2,4,4,52,2,118,25,19,48,0,9,43,23,15,9,경기도 화성시 봉담읍,4159025300
0,0,0,0,0,1,-,-,-,-,-,-,8,0,1,0,3,4,0,1,4,0,1,0,경기도 화성시 봉담읍 내리,4159025322
-,-,-,-,-,-,0,0,3,2,2,2,5,0,0,0,0,1,0,1,2,3,1,0,경기도 화성시 봉담읍 수영리,4159025323
-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,-,-,-,-,-,-,경기도 화성시 봉담읍 와우리,4159025325
-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,1,1,-,-,-,-,-,-,경기도 화성시 봉담읍 수기리,4159025326
-,-,-,-,-,-,-,-,-,-,-,-,3,0,1,8,0,4,0,1,0,0,0,0,경기도 화성시 봉담읍 왕림리,4159025328
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0,경기도 화성시 봉담읍 세곡리,4159025329
-,-,-,-,-,-,-,-,-,-,-,-,2,8,8,16,19,49,0,1,4,9,7,13,전라남도 신안군 자은면 유천리,4691033024
-,-,-,-,-,-,-,-,-,-,-,-,5,12,34,30,30,93,0,1,7,12,11,13,전라남도 신안군 자은면 유각리,4691033025
-,-,-,-,-,-,-,-,-,-,-,-,0,8,9,9,12,9,0,3,4,5,6,20,전라남도 신안군 자은면 면전리,4691033026
-,-,-,-,-,-,-,-,-,-,-,-,0,2,11,32,35,53,1,0,4,10,24,54,전라남도 신안군 자은면 고장리,4691033028
-,-,-,-,-,-,-,-,-,-,-,-,1,8,18,26,28,39,1,3,5,7,19,34,전라남도 신안군 자은면 구영리,4691033029
-,-,-,-,-,-,-,-,-,-,-,-,1,5,10,14,17,17,0,0,1,1,2,8,전라남도 신안군 비금면 광대리,4691034021
-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,5,5,7,0,0,2,1,5,23,전라남도 신안군 비금면 용소리,4691034022
-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,5,18,0,0,1,1,1,5,전라남도 신안군 비금면 가산리,4691034024
-,-,-,-,-,-,-,-,-,-,-,-,6,5,7,8,1,6,0,3,3,2,6,21,전라남도 신안군 비금면 덕산리,4691034025
-,-,-,-,-,-,-,-,-,-,-,-,0,4,6,9,14,8,0,0,0,1,3,11,전라남도 신안군 비금면 구림리,4691034027
-,-,-,-,-,-,-,-,-,-,-,-,5,9,9,11,8,15,0,2,2,2,5,17,전라남도 신안군 비금면 신원리,4691034028
0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,3,6,31,52,32,14,부산광역시 강서구 죽림동,2644010500
0,0,2,2,6,19,-,-,-,-,-,-,0,0,0,0,0,1,2,4,30,29,14,8,부산광역시 강서구 식만동,2644010600
1,0,3,1,0,4,-,-,-,-,-,-,0,0,1,0,0,1,7,82,172,68,30,15,부산광역시 강서구 죽동동,2644010700
1,0,3,8,4,13,1,0,0,0,6,8,3,0,2,2,0,2,16,58,114,86,45,25,부산광역시 강서구 봉림동,2644010800
-,-,-,-,-,-,0,3,1,1,0,0,1,5,3,1,2,2,0,1,1,1,1,0,경기도 화성시 팔탄면 덕우리,4159036030
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,4,0,0,1,0,0,0,경기도 화성시 서신면 제부리,4159035026
-,-,-,-,-,-,0,3,1,4,2,3,4,4,3,2,1,2,0,1,4,3,2,0,경기도 화성시 서신면 홍법리,4159035027
-,-,-,-,-,-,0,0,1,4,6,21,2,4,2,3,4,51,0,0,0,0,2,2,경기도 화성시 서신면 매화리,4159035029
-,-,-,-,-,-,4,6,4,4,14,24,2,5,4,3,2,5,0,3,8,6,4,8,경기도 화성시 서신면 용두리,4159035030
-,-,-,-,-,-,0,1,1,4,5,9,3,4,2,2,1,0,0,2,6,1,1,0,경기도 화성시 서신면 백미리,4159035032
1,0,1,1,3,14,1,4,3,2,0,7,5,19,21,15,16,23,1,11,103,103,62,34,경기도 화성시 팔탄면,4159036000
0,0,1,0,0,2,-,-,-,-,-,-,1,2,1,2,1,2,0,1,14,8,4,3,경기도 화성시 팔탄면 창곡리,4159036022
-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,0,2,0,1,28,21,7,1,경기도 화성시 팔탄면 기천리,4159036023
0,0,0,0,0,1,-,-,-,-,-,-,1,2,2,2,2,3,0,0,14,14,5,0,경기도 화성시 팔탄면 구장리,4159036025
-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,1,2,3,0,0,3,2,2,0,경기도 화성시 팔탄면 율암리,4159036026
-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,1,0,0,1,1,0,0,경기도 화성시 팔탄면 덕천리,4159036028
0,0,0,0,3,6,-,-,-,-,-,-,0,0,0,1,0,0,1,6,22,22,6,3,전라남도 순천시 낙안면 평촌리,4615038029
-,-,-,-,-,-,0,614,1,2,2,5,0,5,14,23,6,2,2,13,35,34,17,6,전라남도 구례군 마산면 황전리,4673034024
-,-,-,-,-,-,1,2,3,7,2,0,0,1,8,9,3,2,3,35,119,47,21,9,전라남도 구례군 마산면 갑산리,4673034025
0,0,4,10,22,33,3,92,41,26,44,23,2,31,94,54,27,16,26,96,286,341,250,89,전라남도 구례군 광의면,4673035000
0,0,1,0,0,0,0,3,1,0,1,0,1,1,6,3,3,1,4,10,34,17,10,3,전라남도 구례군 광의면 연파리,4673035021
0,0,1,1,4,8,0,3,3,1,1,3,0,2,6,3,2,2,2,1,23,58,72,18,전라남도 구례군 광의면 대산리,4673035023
0,0,3,7,14,19,1,2,4,2,6,4,0,2,6,6,7,1,4,15,39,101,68,16,전라남도 구례군 광의면 지천리,4673035024
0,0,0,0,1,0,1,3,4,1,6,2,0,3,27,13,4,4,2,8,31,19,8,5,전라남도 구례군 광의면 대전리,4673035026
0,0,0,0,1,0,1,24,26,20,27,6,1,14,18,13,6,4,4,24,57,51,39,13,전라남도 구례군 광의면 온당리,4673035027
1,4,17,59,74,65,121,138,113,97,47,21,26,56,45,109,19,13,113,448,390,260,149,59,전라남도 구례군 용방면,4673036000
0,0,1,1,2,1,0,1,0,0,1,0,1,1,1,2,3,2,30,40,33,26,21,9,전라남도 구례군 용방면 신지리,4673036022
-,-,-,-,-,-,-,-,-,-,-,-,3,7,4,4,2,3,7,2,8,13,10,15,경상남도 창녕군 영산면 신제리,4874038027
0,1,1,3,3,21,0,0,0,0,1,0,2,10,4,2,3,0,6,0,2,3,1,1,경상남도 창녕군 영산면 월령리,4874038028
0,0,1,9,9,6,0,8,15,11,2,2,85,69,47,28,60,19,51,6,44,38,33,25,경상남도 창녕군 장마면,4874039000
0,0,0,1,0,0,0,0,1,0,0,0,14,11,0,1,1,2,8,1,4,3,4,1,경상남도 창녕군 장마면 강리,4874039021
0,0,0,0,0,1,0,0,3,3,4,14,1,7,3,5,8,16,0,4,12,15,12,7,경상북도 영천시 고경면 창상리,4723038023
0,0,0,0,0,1,0,4,2,7,20,40,2,6,4,7,9,13,-,-,-,-,-,-,경상북도 영천시 고경면 대의리,4723038024
-,-,-,-,-,-,0,1,1,3,1,1,1,6,4,2,2,1,-,-,-,-,-,-,경상북도 영천시 고경면 오류리,4723038026
-,-,-,-,-,-,0,0,0,0,0,2,1,7,5,4,3,2,0,0,0,0,0,1,경상북도 영천시 고경면 고도리,4723038027
0,0,0,0,0,1,2,2,2,6,6,19,5,13,8,11,11,10,0,0,1,1,1,0,경상북도 영천시 고경면 용전리,4723038029
-,-,-,-,-,-,0,10,0,1,1,4,5,3,2,2,4,4,0,0,0,1,4,4,경상북도 영천시 고경면 상리리,4723038031
-,-,-,-,-,-,0,0,0,0,2,3,6,1,1,1,3,0,0,1,0,0,1,0,경상북도 영천시 고경면 학리,4723038032
-,-,-,-,-,-,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,경상북도 영천시 북안면 원당리,4723039039
-,-,-,-,-,-,0,0,1,2,2,2,0,0,0,5,6,0,0,2,3,8,3,0,경상남도 사천시 정동면 수청리,4824031025
-,-,-,-,-,-,-,-,-,-,-,-,6,6,2,2,1,2,0,0,1,6,6,2,경상남도 사천시 사천읍 선인리,4824025021
-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,0,1,0,-,-,-,-,-,-,경상남도 사천시 사천읍 정의리,4824025022
-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,0,0,0,-,-,-,-,-,-,경상남도 사천시 사천읍 수석리,4824025024
-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,0,0,0,4,6,3,0,경상남도 사천시 사천읍 사주리,4824025025
-,-,-,-,-,-,0,0,3,0,0,0,8,20,20,14,10,19,0,0,5,10,15,9,경상남도 사천시 사천읍 구암리,4824025028
-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,1,1,1,0,0,1,4,3,1,경상남도 사천시 사천읍 금곡리,4824025030
-,-,-,-,-,-,0,0,11,11,3,6,3,13,14,19,15,23,0,3,13,29,23,20,경상남도 사천시 사천읍 두량리,4824025031
-,-,-,-,-,-,0,0,2,0,0,8,1,1,4,8,5,0,0,1,4,8,8,1,경상남도 사천시 정동면 예수리,4824031022
-,-,-,-,-,-,-,-,-,-,-,-,1,4,7,7,5,4,0,0,4,6,7,2,경상남도 사천시 정동면 화암리,4824031023
-,-,-,-,-,-,1,1,30,21,7,8,22,59,46,47,46,61,0,4,44,84,80,42,경상남도 사천시 사천읍,4824025000
-,-,-,-,-,-,0,0,7,0,1,2,3,2,1,2,2,4,0,0,0,0,0,1,경상북도 영천시 청통면 신학리,4723031029
-,-,-,-,-,-,0,1,1,3,5,4,1,1,1,2,0,1,-,-,-,-,-,-,경상북도 영천시 청통면 애련리,4723031031
0,0,0,0,0,1,0,0,6,1,0,1,1,0,1,2,2,1,0,0,0,0,0,1,경상북도 영천시 청통면 계포리,4723031032
0,0,0,0,0,1,0,1,0,5,6,20,0,1,1,2,1,3,-,-,-,-,-,-,경상북도 영천시 청통면 신원리,4723031034
-,-,-,-,-,-,1,1,4,3,15,35,7,30,39,58,72,98,0,0,0,1,5,6,경상북도 영천시 신녕면,4723032000
-,-,-,-,-,-,0,0,0,0,0,1,1,5,5,5,6,3,-,-,-,-,-,-,경상북도 영천시 신녕면 치산리,4723032021
-,-,-,-,-,-,0,0,0,0,3,5,1,3,2,2,2,2,-,-,-,-,-,-,경상북도 영천시 신녕면 화서리,4723032023
-,-,-,-,-,-,0,0,0,1,5,6,1,1,3,8,12,21,0,0,0,0,1,3,경상북도 영천시 신녕면 왕산리,4723032025
0,0,0,0,0,2,2,0,4,4,7,16,1,3,7,6,12,28,2,5,10,13,12,12,경상북도 영천시 임고면 우항리,4723037031
-,-,-,-,-,-,0,0,0,0,1,1,2,1,1,1,0,2,-,-,-,-,-,-,경상북도 영천시 자양면 용산리,4723036025
-,-,-,-,-,-,-,-,-,-,-,-,3,4,0,1,3,1,-,-,-,-,-,-,경상북도 영천시 자양면 성곡리,4723036028
-,-,-,-,-,-,0,1,0,2,0,4,5,3,4,3,2,2,0,1,11,10,5,4,경상남도 김해시 진영읍 하계리,4825025022
-,-,-,-,-,-,0,0,7,1,0,0,-,-,-,-,-,-,0,0,1,4,5,0,경상남도 김해시 진영읍 방동리,4825025023
1,0,0,0,1,2,8,128,75,20,14,5,121,127,108,81,55,45,0,20,92,379,105,86,전라남도 보성군 미력면,4678032000
-,-,-,-,-,-,-,-,-,-,-,-,11,15,13,5,10,7,0,4,16,13,7,9,전라남도 보성군 미력면 도개리,4678032021
0,0,0,0,0,1,0,2,7,0,7,0,16,10,26,21,4,5,0,2,7,8,4,4,전라남도 보성군 미력면 미력리,4678032022
-,-,-,-,-,-,0,13,1,1,0,0,23,43,21,22,7,9,0,2,14,34,16,9,전라남도 보성군 미력면 용정리,4678032024
-,-,-,-,-,-,0,0,7,0,1,0,8,15,8,10,12,3,0,7,7,24,11,17,전라남도 보성군 미력면 덕림리,4678032025
1,0,0,0,0,0,6,29,2,0,0,0,22,13,18,7,7,17,0,2,13,9,8,6,전라남도 보성군 미력면 초당리,4678032027
0,1,0,0,1,0,10,138,83,21,12,5,10,85,175,167,125,88,3,28,128,158,130,58,전라남도 보성군 겸백면,4678033000
-,-,-,-,-,-,-,-,-,-,-,-,2,23,20,35,37,18,0,0,6,18,7,0,전라남도 보성군 겸백면 운림리,4678033022
-,-,-,-,-,-,-,-,-,-,-,-,0,1,14,29,9,8,0,2,19,14,4,0,전라남도 보성군 겸백면 은덕리,4678033023
0,0,0,1,1,1,-,-,-,-,-,-,0,2,3,2,4,10,2,14,22,13,9,10,경상북도 포항시남구 대송면,4711131000
0,0,0,1,1,0,-,-,-,-,-,-,0,0,0,0,1,0,0,4,4,3,1,1,경상북도 포항시남구 대송면 공수리,4711131021
-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,2,2,5,1,1,1,1,0,1,경상북도 포항시남구 대송면 홍계리,4711131023
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,경상북도 포항시남구 대송면 산여리,4711131024
